Name,Age,Value €,Value $,Value £,Wage €,Wage $,Wage £,Ball Control,Dribbling,Marking,Slide Tackle,Stand Tackle,Aggression,Reactions,Att. Position,Interceptions,Vision,Composure,Crossing,Short Pass,Long pass,Acceleration,Stamina,Strength,Balance,Sprint Speed,Agility,Jumping,Heading,Shot Power,Finishing,Long Shots,Curve,FK Acc.,Penalties,Volleys,GK Positioning,GK Diving,GK Handling,GK Kicking,GK Reflexes
Tom Trybull,28,2400000.0,2800000.0,2200000.0,8300.0,9400.0,7500.0,67,65,74,70,70,77,65,49,75,59,73,57,73,68,65,76,68,69,56,69,79,58,58,35,58,56,49,55,56,13,15,13,11,6
Jürgen Locadia,27,2800000.0,3100000.0,2500000.0,39000.0,44000.0,35000.0,74,72,29,31,34,66,72,70,37,69,66,56,69,63,69,66,78,63,73,66,60,60,84,65,66,65,74,69,70,13,10,7,8,10
Thulani Serero,31,,,,,,,80,73,66,54,69,68,74,58,75,71,75,50,80,69,82,80,39,85,77,82,57,46,46,50,45,65,42,49,45,12,7,14,14,10
Serantes,31,1600000.0,1800000.0,1400000.0,6000.0,6800.0,5400.0,25,16,25,23,20,27,71,13,11,43,56,17,21,39,55,44,52,41,65,58,72,19,56,18,14,22,13,18,13,70,74,67,74,71
Ziya Erdal,33,1600000.0,1800000.0,1400000.0,12000.0,14000.0,11000.0,62,60,74,70,69,81,71,44,75,46,68,74,62,64,72,76,71,62,66,66,64,58,72,42,56,52,47,44,36,9,16,16,6,11
Josh Risdon,28,2300000.0,2600000.0,2100000.0,2500.0,2800.0,2200.0,68,64,68,72,74,71,57,54,72,57,60,70,63,60,74,84,80,85,74,62,92,53,50,48,55,59,38,43,30,15,6,8,7,8
Jota,29,2300000.0,2600000.0,2100000.0,17500.0,19500.0,15500.0,77,73,39,16,26,49,68,71,29,76,66,73,69,70,69,62,61,69,68,77,48,43,66,71,68,74,69,64,43,6,14,14,13,8
Brecht Dejaegere,29,2300000.0,2600000.0,2100000.0,16500.0,19000.0,15000.0,73,74,64,68,70,77,74,70,72,72,74,71,73,70,77,81,61,77,69,85,80,54,73,51,66,66,68,60,68,9,7,8,9,8
Charly Musonda,24,3200000.0,3600000.0,2900000.0,44000.0,50000.0,40000.0,78,80,24,22,20,32,62,67,21,67,66,72,72,67,83,45,43,81,77,88,31,39,70,63,61,69,58,55,52,8,6,6,7,9
Viktor Fischer,26,2800000.0,3100000.0,2500000.0,16500.0,19000.0,15000.0,72,74,35,25,35,64,65,71,31,73,68,70,69,66,79,70,65,78,79,80,58,44,73,68,67,69,66,62,69,14,13,14,6,15
Kenny McLean,29,2300000.0,2600000.0,2100000.0,9500.0,10500.0,8500.0,73,70,65,62,66,59,71,68,64,73,70,54,76,73,74,80,71,61,65,75,77,59,78,68,69,63,70,71,56,14,8,14,15,9
Anthony Knockaert,29,2400000.0,2800000.0,2200000.0,60000.0,70000.0,55000.0,76,73,58,34,40,80,70,66,48,70,73,72,71,63,76,67,57,83,68,88,69,56,73,64,69,75,71,68,62,11,14,14,8,8
Stefano Sturaro,28,2500000.0,2800000.0,2200000.0,12500.0,14000.0,11000.0,74,73,76,76,77,86,68,73,74,68,73,66,74,72,69,70,74,65,68,70,65,68,78,55,77,64,64,68,74,14,15,10,5,11
Felix Klaus,28,2500000.0,2800000.0,2200000.0,19500.0,22000.0,17500.0,73,77,43,33,36,63,73,70,39,71,67,71,71,44,77,75,67,75,72,76,67,45,75,68,62,69,68,62,60,6,7,6,13,8
Konstantinos Stafylidis,27,2300000.0,2600000.0,2100000.0,21000.0,24000.0,19000.0,70,69,73,74,74,85,67,41,65,41,68,72,71,72,74,67,71,73,73,73,70,50,85,48,81,76,80,46,68,10,11,7,15,14
Marafona,33,750000.0,850000.0,675000.0,8200.0,9300.0,7400.0,13,22,15,13,12,41,64,13,21,56,41,13,32,38,36,29,60,35,37,49,53,13,50,18,16,19,17,23,19,72,73,73,66,72
Doneil Henry,28,2400000.0,2800000.0,2200000.0,4000.0,4500.0,3600.0,55,46,72,69,70,81,65,32,70,47,64,43,60,55,65,68,91,57,62,58,90,72,65,36,47,37,40,30,45,11,8,10,10,15
Loïck Landre,28,2200000.0,2500000.0,2000000.0,16000.0,18000.0,14500.0,64,48,70,69,72,80,69,50,72,49,66,35,70,61,50,61,75,69,55,54,78,72,58,26,34,33,24,46,22,12,15,11,12,12
Oscar Hiljemark,28,2300000.0,2600000.0,2100000.0,12000.0,14000.0,11000.0,75,72,53,60,71,69,70,65,68,69,73,68,76,74,66,87,68,64,65,64,72,59,83,51,65,70,73,64,50,16,6,8,15,12
Thomas Monconduit,30,2000000.0,2300000.0,1800000.0,20000.0,22500.0,18000.0,69,67,71,70,71,75,67,64,71,68,67,66,70,72,54,82,74,59,65,64,70,69,70,49,57,66,63,52,39,13,12,9,14,13
Jens Jønsson,28,2200000.0,2500000.0,2000000.0,18500.0,20500.0,16500.0,73,64,69,68,72,73,68,55,73,69,73,54,72,67,69,80,73,67,76,75,78,62,63,54,60,53,48,45,46,15,12,8,6,10
Conor Townsend,28,2300000.0,2600000.0,2100000.0,46000.0,50000.0,41000.0,68,68,70,68,74,57,69,56,67,62,62,71,67,57,68,76,69,73,73,69,69,57,47,44,47,64,61,52,41,4,8,10,8,8
Francisco Silva,35,800000.0,900000.0,725000.0,11500.0,13000.0,10500.0,68,57,75,71,71,85,67,65,68,68,67,58,72,74,44,70,73,65,35,62,71,37,74,53,70,61,60,58,46,8,13,12,9,9
Juan Carlos,30,2300000.0,2600000.0,2100000.0,17500.0,19500.0,15500.0,75,74,59,41,59,45,70,74,60,76,76,69,76,72,69,70,58,67,63,71,58,49,58,67,71,65,71,60,49,6,8,11,14,8
Nick Powell,27,2800000.0,3100000.0,2500000.0,20500.0,23000.0,18500.0,74,71,47,45,54,61,74,76,36,73,74,59,68,68,69,62,67,74,66,73,75,71,70,73,72,64,55,68,59,14,15,13,7,12
Kim Jin Hyeon,33,1200000.0,1400000.0,1100000.0,5100.0,5800.0,4600.0,24,14,11,12,13,14,72,16,15,57,12,20,12,22,35,33,50,43,32,45,68,19,46,13,15,11,13,15,13,74,72,67,61,75
Tom Barkhuizen,27,2600000.0,2900000.0,2300000.0,20500.0,23000.0,18500.0,70,71,58,25,26,58,67,71,38,65,64,67,63,49,94,81,64,76,94,80,88,54,74,68,61,63,38,56,48,11,13,13,15,13
Tomáš Kalas,27,2400000.0,2800000.0,2200000.0,27000.0,31000.0,24500.0,64,61,69,74,72,68,70,46,72,48,73,52,66,60,71,74,77,68,73,67,82,74,66,38,57,25,18,53,24,7,8,8,9,7
Lucas Piazón,27,2600000.0,2900000.0,2300000.0,11500.0,13000.0,10500.0,78,75,27,43,32,49,74,72,31,73,79,70,74,67,65,64,56,70,65,69,34,53,75,72,68,75,77,73,73,10,10,7,8,14
Lukáš Hejda,31,1900000.0,2100000.0,1700000.0,11500.0,13000.0,10500.0,62,53,72,72,75,54,73,39,72,44,66,36,66,62,61,75,85,53,63,57,57,77,46,30,35,41,41,40,29,13,16,6,10,13
Ángel Sepúlveda,30,2300000.0,2600000.0,2100000.0,9700.0,11000.0,8700.0,71,71,30,38,41,57,69,74,48,67,67,67,68,63,76,73,78,64,78,78,83,73,71,69,65,66,65,66,65,12,16,14,11,11
Sebá,28,2400000.0,2800000.0,2200000.0,24500.0,27500.0,22000.0,72,71,35,51,55,78,65,70,57,66,70,67,67,62,87,71,78,69,85,76,66,57,83,66,73,63,64,66,70,10,10,6,7,8
André Hoffmann,28,2400000.0,2800000.0,2200000.0,17500.0,19500.0,15500.0,61,51,69,72,75,74,72,52,70,55,63,49,65,64,49,52,79,56,56,53,66,74,61,29,34,27,31,42,23,9,6,14,8,9
Kim Bo Kyung,31,2200000.0,2500000.0,2000000.0,8800.0,9900.0,7900.0,75,72,59,55,61,64,71,75,64,77,73,65,73,67,77,77,68,71,78,82,73,58,67,68,68,72,68,72,64,13,12,15,10,13
Zakarya Bergdich,32,1700000.0,1900000.0,1500000.0,10000.0,11500.0,9000.0,70,73,68,70,72,73,61,67,70,59,61,66,71,63,82,78,71,74,80,75,77,57,74,46,39,75,46,44,38,6,15,12,9,11
Ben Gibson,28,2400000.0,2800000.0,2200000.0,32000.0,36000.0,29000.0,62,40,73,72,74,68,72,32,73,44,55,29,66,57,55,53,76,63,52,57,76,73,35,28,28,38,22,31,20,16,12,8,16,11
Bartosz Bereszyński,28,2300000.0,2600000.0,2100000.0,13000.0,14500.0,11500.0,70,68,66,68,69,71,68,60,67,60,69,67,68,62,83,76,68,72,85,73,69,60,64,50,60,60,50,50,56,7,9,8,16,15
Yoon Bit Garam,30,2200000.0,2500000.0,2000000.0,7100.0,8000.0,6400.0,68,67,58,49,59,70,69,69,63,78,68,62,76,77,71,81,67,74,73,72,66,54,72,65,75,66,73,63,64,11,8,11,11,6
Luca Caldirola,30,2000000.0,2300000.0,1800000.0,12500.0,14000.0,11000.0,65,59,68,70,74,66,70,50,73,57,70,62,70,66,50,46,80,53,48,53,80,76,63,28,46,51,51,42,50,6,9,10,10,12
Michael Esser,33,1200000.0,1400000.0,1100000.0,14000.0,15500.0,12500.0,17,15,20,16,15,40,70,6,30,48,53,10,39,35,32,37,82,28,48,30,67,25,48,8,19,14,17,23,9,70,73,71,64,74
Soares,32,1600000.0,1800000.0,1400000.0,6800.0,7700.0,6100.0,65,66,69,68,72,80,70,58,71,62,59,54,69,73,65,90,73,65,55,63,79,60,62,52,68,60,47,49,45,14,15,8,16,12
Graeme Shinnie,29,2100000.0,2400000.0,1900000.0,19500.0,22000.0,17500.0,66,65,72,72,71,87,69,59,72,65,71,66,71,66,73,85,68,78,68,70,74,52,68,24,57,63,57,47,53,14,13,6,6,12
Kristof D'Haene,30,2000000.0,2300000.0,1800000.0,10000.0,11500.0,9000.0,70,74,65,68,68,68,69,63,71,62,73,78,67,68,79,87,46,91,70,82,74,28,71,55,58,54,52,53,54,12,7,16,14,14
Taulant Xhaka,30,2000000.0,2300000.0,1800000.0,12000.0,14000.0,11000.0,67,65,71,72,67,90,64,61,69,63,73,71,72,69,71,91,76,76,76,69,72,50,73,54,75,53,63,55,52,14,11,8,14,11
Benito Raman,26,3100000.0,3500000.0,2800000.0,20000.0,22500.0,18000.0,72,74,25,31,33,73,78,74,31,64,69,65,69,57,89,79,41,85,76,90,71,64,76,76,72,68,67,65,73,10,13,8,16,8
Kim Tae Hwan,31,2000000.0,2300000.0,1800000.0,6500.0,7300.0,5800.0,65,67,63,66,65,83,69,59,68,50,58,67,65,59,90,76,77,76,92,87,76,58,65,57,51,61,50,56,53,9,12,10,16,11
Hong Jeong Ho,31,1900000.0,2100000.0,1700000.0,8100.0,9200.0,7300.0,57,49,67,70,73,71,67,50,67,59,67,30,64,55,77,72,85,61,78,65,88,77,55,44,45,45,39,46,39,11,6,9,14,10
Leandro González Pirez,29,2000000.0,2300000.0,1800000.0,6200.0,7000.0,5600.0,70,66,71,71,70,83,69,60,70,60,69,42,70,72,65,81,77,59,72,63,75,69,59,42,49,55,39,49,42,12,14,8,8,13
Juan Iturbe,27,2500000.0,2800000.0,2200000.0,10500.0,12000.0,9400.0,74,75,31,26,30,78,64,68,21,68,78,65,68,57,89,66,37,90,90,87,67,40,72,60,67,70,70,60,59,6,12,8,12,9
Trent Sainsbury,29,2000000.0,2300000.0,1800000.0,10500.0,12000.0,9400.0,55,50,80,74,70,62,70,52,76,62,70,58,67,68,73,75,76,73,74,67,76,73,61,45,43,62,25,63,33,14,13,12,11,6
Christopher Schindler,30,1900000.0,2100000.0,1700000.0,18500.0,20500.0,16500.0,67,44,75,72,73,72,70,29,71,51,74,49,67,64,61,68,77,57,58,54,72,73,52,25,24,45,33,55,30,12,6,11,10,12
Bryan Dabo,29,2300000.0,2600000.0,2100000.0,13500.0,15000.0,12000.0,74,74,71,72,73,82,68,70,72,68,72,64,77,73,63,73,77,69,59,70,82,70,78,62,69,62,58,62,60,10,8,6,10,11
Alexander Domínguez,33,750000.0,850000.0,675000.0,9200.0,10500.0,8300.0,32,20,26,22,21,31,69,15,24,63,67,13,37,39,34,25,73,33,35,30,63,23,54,11,13,27,15,17,15,74,70,68,72,71
Numa Lavanchy,27,2500000.0,2800000.0,2200000.0,6300.0,7200.0,5700.0,70,66,63,66,64,65,63,72,60,66,65,73,63,58,81,90,62,80,84,77,73,57,59,64,59,67,58,54,61,10,12,12,9,9
Jordy Clasie,29,2300000.0,2600000.0,2100000.0,8600.0,9700.0,7700.0,75,70,71,57,61,70,71,63,74,75,74,70,79,76,66,65,64,86,61,68,61,33,76,52,70,75,68,63,70,10,11,11,14,7
Jesús Sánchez,31,2000000.0,2300000.0,1800000.0,28500.0,32000.0,25500.0,71,72,69,74,70,70,60,63,66,41,55,72,70,65,78,69,56,81,80,80,77,60,65,52,57,60,52,60,58,8,16,11,7,9
Tobias Kempe,31,1900000.0,2100000.0,1700000.0,15000.0,17000.0,13500.0,74,72,35,37,45,51,72,64,46,76,74,82,72,69,68,81,72,68,77,72,64,49,81,63,75,83,75,79,70,13,14,13,13,12
Nicolas Höfler,31,2000000.0,2300000.0,1800000.0,15500.0,17500.0,14000.0,68,64,70,68,70,68,73,49,75,63,73,54,74,69,54,73,70,65,63,66,84,61,58,41,49,53,50,50,40,10,6,13,13,9
Soner Aydoğdu,30,2300000.0,2600000.0,2100000.0,26000.0,29500.0,23500.0,75,75,67,58,66,59,65,67,69,73,73,70,76,76,66,69,62,70,62,74,61,63,74,65,74,80,75,71,60,13,14,10,15,6
Guido Burgstaller,31,2000000.0,2300000.0,1800000.0,15000.0,17000.0,13500.0,69,70,35,21,39,84,78,77,34,64,77,69,73,58,54,77,80,62,55,62,69,74,79,70,70,62,42,64,72,10,12,7,14,9
Charlie Austin,31,2300000.0,2600000.0,2100000.0,55000.0,60000.0,49000.0,73,63,20,22,37,67,74,77,44,62,76,56,62,46,50,48,78,52,50,62,74,78,80,74,70,59,43,83,72,9,9,11,7,13
Samu Sáiz,30,2300000.0,2600000.0,2100000.0,8300.0,9400.0,7500.0,71,73,22,14,30,56,67,71,19,77,71,71,66,64,78,71,58,83,72,82,71,40,68,66,69,80,69,75,61,15,9,9,14,15
Antonino Ragusa,31,2300000.0,2600000.0,2100000.0,13500.0,15000.0,12000.0,75,74,55,26,40,57,69,68,36,64,71,68,70,60,85,70,64,74,86,80,65,59,68,66,69,63,51,65,70,13,15,10,10,8
Dominick Drexler,30,2300000.0,2600000.0,2100000.0,19000.0,21500.0,17000.0,72,74,58,28,34,57,73,66,22,76,75,68,76,66,73,73,50,75,66,76,59,49,61,66,60,68,52,58,64,6,7,9,7,14
Caio,30,2300000.0,2600000.0,2100000.0,13000.0,14500.0,11500.0,74,76,24,25,24,64,67,73,25,66,75,63,67,62,80,71,63,74,81,80,73,73,72,72,70,68,62,74,73,7,12,13,15,12
Ivo Pinto,31,2000000.0,2300000.0,1800000.0,7500.0,8400.0,6700.0,65,68,67,69,70,69,67,62,65,59,64,68,66,61,87,75,70,63,82,75,67,57,61,38,49,59,55,44,44,12,10,11,14,16
Marlon Pack,30,2000000.0,2300000.0,1800000.0,19500.0,22000.0,17500.0,73,68,67,64,68,75,69,59,65,69,75,68,74,77,48,86,76,59,53,64,69,74,73,52,68,64,68,64,54,15,10,8,11,9
Mathias Autret,30,2300000.0,2600000.0,2100000.0,6100.0,6900.0,5500.0,72,74,26,40,49,49,70,72,53,73,64,75,75,73,65,53,60,77,68,73,64,48,76,71,65,63,70,62,64,10,10,6,13,12
Marvin Ducksch,27,2600000.0,2900000.0,2300000.0,20000.0,22500.0,18000.0,72,64,27,22,35,55,74,75,29,53,65,66,67,42,66,68,73,63,67,63,71,72,74,75,68,74,70,70,73,12,6,12,7,16
Radosav Petrović,32,1600000.0,1800000.0,1400000.0,6800.0,7700.0,6100.0,67,64,71,64,76,75,66,55,74,65,67,49,70,68,43,74,80,35,39,37,60,66,63,48,65,36,33,47,36,14,11,15,9,7
Papy Djilobodji,32,1600000.0,1800000.0,1400000.0,10000.0,11500.0,9000.0,57,53,63,74,76,80,61,38,73,48,54,22,69,74,64,70,81,47,64,51,77,73,72,32,66,27,55,27,23,6,12,13,9,10
Jake Bidwell,28,2300000.0,2600000.0,2100000.0,18500.0,20500.0,16500.0,69,61,70,65,70,78,68,63,67,63,66,75,66,65,68,81,72,64,68,62,66,65,65,30,51,60,63,27,44,12,13,13,12,12
Khouma Babacar,28,2500000.0,2800000.0,2200000.0,23500.0,26500.0,21000.0,74,72,43,24,26,58,68,75,20,48,70,50,64,46,63,58,76,59,69,69,75,74,79,72,62,64,60,77,74,8,12,6,10,14
Johan Larsson,30,2000000.0,2300000.0,1800000.0,4200.0,4800.0,3800.0,66,65,61,65,67,70,70,66,69,72,70,68,68,65,79,86,71,77,81,79,73,58,71,59,68,69,70,58,57,16,13,16,6,16
Lasse Sobiech,30,2000000.0,2300000.0,1800000.0,18000.0,20000.0,16000.0,55,32,72,71,74,71,72,47,70,42,69,42,57,48,34,56,86,34,48,32,39,83,75,48,31,34,26,73,39,9,12,6,12,7
Shinji Okazaki,35,1100000.0,1300000.0,1000000.0,18000.0,20000.0,16000.0,72,74,54,45,56,72,78,77,48,69,68,66,74,67,64,63,66,67,60,76,84,78,75,68,65,53,50,70,76,6,10,6,14,6
Pelé,29,2100000.0,2400000.0,1900000.0,29500.0,33000.0,26500.0,69,69,72,66,72,77,70,60,67,62,74,59,68,74,66,80,80,63,75,67,71,64,73,50,65,54,65,74,58,12,14,12,10,5
Ján Greguš,30,2300000.0,2600000.0,2100000.0,6700.0,7500.0,6000.0,71,69,65,67,69,74,67,68,68,73,69,70,76,72,63,76,70,65,67,66,64,61,77,61,75,69,68,64,64,7,8,7,13,6
Jonathan Mensah,30,2000000.0,2300000.0,1800000.0,6200.0,7000.0,5600.0,60,48,74,62,68,75,77,25,73,44,73,41,71,70,61,74,83,46,67,54,80,69,79,28,59,38,31,44,55,9,6,13,12,8
Giulio Donati,31,2000000.0,2300000.0,1800000.0,11500.0,13000.0,10500.0,66,64,73,72,72,91,73,49,73,51,66,66,64,68,65,73,72,69,73,65,68,68,65,30,43,55,46,51,37,9,16,15,8,8
Denis Alibec,30,2300000.0,2600000.0,2100000.0,12500.0,14000.0,11000.0,74,75,35,42,46,88,65,74,56,70,65,62,67,59,73,70,84,63,67,67,63,64,75,71,72,73,71,69,69,6,16,6,12,8
Majeed Waris,29,2400000.0,2800000.0,2200000.0,22500.0,25000.0,20000.0,73,73,37,31,30,72,69,74,35,71,73,62,71,59,91,64,60,84,87,82,78,66,75,69,69,55,50,65,63,3,3,3,3,3
Sam Clucas,30,2300000.0,2600000.0,2100000.0,21500.0,24500.0,19500.0,73,70,67,58,68,63,73,68,69,72,69,71,73,68,68,90,70,63,72,66,72,62,70,70,75,69,67,65,68,8,6,9,9,6
Mexer,32,1600000.0,1800000.0,1400000.0,19500.0,22000.0,17500.0,69,59,72,70,74,76,67,43,72,54,70,40,72,55,38,67,75,63,44,58,74,75,49,44,59,55,32,38,50,11,10,14,7,11
Romain Amalfitano,31,2200000.0,2500000.0,2000000.0,12000.0,14000.0,11000.0,72,72,71,67,72,73,76,70,77,75,71,62,74,71,63,76,47,72,47,66,46,22,56,64,50,61,62,61,49,8,10,6,15,12
Stefan Bell,29,2000000.0,2300000.0,1800000.0,18000.0,20000.0,16000.0,50,47,73,67,73,70,71,32,76,45,72,43,61,61,44,62,85,40,49,44,62,78,64,31,30,33,40,41,32,13,7,16,8,14
Cristian Gamboa,31,2000000.0,2300000.0,1800000.0,12500.0,14000.0,11000.0,68,70,68,67,69,74,69,65,68,62,64,70,67,66,86,69,69,87,83,81,90,52,71,32,52,66,54,54,58,7,12,10,13,14
Jagoš Vuković,32,1500000.0,1600000.0,1300000.0,9100.0,10500.0,8200.0,58,48,71,71,75,74,66,32,73,45,68,56,60,60,33,55,86,31,33,33,74,78,74,27,70,38,58,44,17,14,13,15,7,14
Stefan Ilsanker,31,1600000.0,1800000.0,1400000.0,17500.0,19500.0,15500.0,54,51,74,76,75,89,74,54,73,58,68,39,66,63,49,78,84,37,68,34,56,74,71,45,60,41,33,37,44,18,17,16,15,17
Yūya Ōsako,30,2300000.0,2600000.0,2100000.0,20500.0,23000.0,18500.0,77,78,52,32,39,63,72,70,31,70,72,42,71,60,75,68,54,77,60,77,79,74,71,73,66,71,53,68,67,6,14,9,6,16
Rene Krhin,30,2000000.0,2300000.0,1800000.0,6400.0,7300.0,5800.0,70,55,73,64,77,75,69,51,74,62,72,56,74,68,33,62,77,41,33,40,48,61,62,44,52,60,49,58,47,15,10,10,10,5
Joel Obi,29,2300000.0,2600000.0,2100000.0,13000.0,14500.0,11500.0,71,70,73,72,79,76,76,70,76,73,73,63,75,67,86,72,76,83,78,87,80,64,71,67,65,60,56,59,61,15,13,9,12,13
Victor Pálsson,29,2000000.0,2300000.0,1800000.0,14500.0,16500.0,13000.0,65,57,73,76,71,84,67,51,72,62,70,47,69,63,68,78,77,62,79,68,90,66,69,51,57,51,52,57,46,8,8,9,16,7
Niklas Hult,31,2000000.0,2300000.0,1800000.0,17000.0,19500.0,15500.0,71,71,67,65,70,70,70,64,68,67,74,72,73,65,79,76,55,81,80,77,78,50,67,58,57,65,51,50,56,16,7,8,13,15
John Boye,33,1100000.0,1300000.0,1000000.0,12500.0,14000.0,11000.0,58,54,72,68,73,83,69,38,72,37,55,48,56,50,67,68,77,60,67,65,83,76,43,36,23,36,16,28,11,6,15,9,6,6
Chris Mavinga,29,2000000.0,2300000.0,1800000.0,6200.0,7000.0,5600.0,70,66,70,73,70,77,69,40,68,59,65,62,72,66,76,71,77,55,85,62,73,69,56,36,32,42,22,33,30,12,9,15,7,14
Nenad Krstičić,30,2300000.0,2600000.0,2100000.0,13000.0,14500.0,11500.0,74,70,69,67,73,81,73,66,68,73,67,60,76,75,69,65,74,58,72,75,58,54,74,56,68,58,53,55,56,9,14,15,6,12
Salman Al Faraj,31,2200000.0,2500000.0,2000000.0,26000.0,29500.0,23500.0,76,70,69,58,73,68,68,68,69,76,79,74,75,77,62,62,69,69,64,81,69,57,74,64,64,75,66,66,70,15,13,16,11,11
Rhyan Grant,30,2100000.0,2400000.0,1900000.0,7400.0,8400.0,6700.0,68,67,66,68,66,77,65,65,68,67,70,68,73,59,75,95,73,73,70,77,84,55,67,60,64,59,51,56,53,7,16,15,16,10
Matthias Zimmermann,28,2100000.0,2400000.0,1900000.0,18500.0,20500.0,16500.0,67,62,72,71,68,77,69,41,73,60,68,71,72,65,73,72,68,77,70,73,69,54,62,46,62,55,41,44,55,12,8,13,11,13
Camora,34,1200000.0,1400000.0,1100000.0,6800.0,7700.0,6100.0,66,61,68,69,71,68,71,62,69,63,54,71,68,69,69,83,69,74,74,70,60,58,68,50,65,65,66,57,47,12,12,14,9,8
Iván Pillud,34,850000.0,975000.0,775000.0,12500.0,14000.0,11000.0,65,64,76,66,71,77,75,56,73,57,52,70,68,63,69,74,80,58,67,59,82,54,72,35,55,83,53,62,49,11,16,14,7,7
Andrea Bertolacci,30,2300000.0,2600000.0,2100000.0,11500.0,13000.0,10500.0,74,73,72,68,68,69,73,72,70,72,70,71,75,73,64,65,61,75,66,74,61,64,75,62,74,70,64,56,69,7,7,8,7,9
Marvin Zeegelaar,30,2300000.0,2600000.0,2100000.0,13000.0,14500.0,11500.0,76,74,73,74,75,71,73,74,74,67,68,74,69,60,66,72,74,53,76,66,61,60,76,56,64,68,52,53,58,11,12,15,12,10
Fredy Montero,33,1900000.0,2100000.0,1700000.0,7000.0,7900.0,6300.0,74,72,54,27,46,52,72,75,40,73,77,67,70,65,67,69,58,79,65,79,69,74,77,71,74,78,74,82,78,10,10,8,9,14
Vincent Le Goff,31,2000000.0,2300000.0,1800000.0,19000.0,21500.0,17000.0,70,70,70,70,73,62,67,69,70,62,68,71,69,69,73,85,63,75,69,79,65,43,60,60,68,50,47,43,52,16,6,11,7,8
Samba Sow,31,1600000.0,1800000.0,1400000.0,31000.0,35000.0,28000.0,69,73,70,68,75,79,65,53,71,63,63,54,73,66,64,81,76,71,65,64,79,67,64,37,55,48,25,50,31,10,16,14,14,9
Patrick Mortensen,31,2300000.0,2600000.0,2100000.0,11500.0,13000.0,10500.0,72,64,28,25,30,64,69,78,26,64,72,39,65,40,57,78,85,51,55,61,86,74,79,76,57,38,33,78,65,12,7,13,16,8
Rafael,30,1600000.0,1800000.0,1400000.0,8400.0,9500.0,7600.0,24,17,13,17,11,29,71,10,29,44,62,18,33,31,52,32,65,42,56,52,62,13,47,10,18,12,11,23,18,70,74,69,62,75
Philipp Bargfrede,32,1600000.0,1800000.0,1400000.0,17500.0,19500.0,15500.0,70,64,75,73,73,81,71,59,73,65,75,60,72,71,61,60,66,75,62,69,79,53,75,47,64,57,59,49,60,10,9,12,7,16
Mattia Destro,30,2300000.0,2600000.0,2100000.0,14000.0,15500.0,12500.0,74,72,28,20,22,60,65,75,20,58,67,56,68,42,68,45,65,72,66,65,76,73,74,76,60,68,51,69,72,9,6,14,15,11
Jörg Siebenhandl,31,1600000.0,1800000.0,1400000.0,11500.0,13000.0,10500.0,30,13,22,23,24,22,67,13,22,48,28,13,31,20,45,38,66,59,48,61,80,14,56,11,17,21,10,15,10,69,72,68,75,74
Leandro Chichizola,31,1600000.0,1800000.0,1400000.0,5100.0,5800.0,4600.0,15,17,15,11,12,15,67,14,16,42,57,11,14,13,49,31,52,44,54,64,74,17,50,16,17,15,14,25,14,70,71,71,67,73
Danijel Aleksić,29,2300000.0,2600000.0,2100000.0,26000.0,29500.0,23500.0,75,75,41,50,47,69,61,66,44,74,61,73,74,72,69,78,70,68,72,79,66,56,81,71,77,80,79,70,65,13,15,16,13,13
Jed Steer,28,2100000.0,2400000.0,1900000.0,27000.0,31000.0,24500.0,22,11,12,11,12,22,67,16,22,42,30,11,40,25,53,39,61,59,47,37,56,12,53,11,11,12,11,41,11,70,73,70,70,72
Ervin Zukanović,34,1100000.0,1300000.0,1000000.0,10000.0,11500.0,9000.0,61,50,74,72,75,70,70,38,71,51,74,66,65,64,49,62,83,34,39,45,50,75,85,25,69,76,79,69,27,12,15,12,8,11
Rúben Lima,31,2000000.0,2300000.0,1800000.0,5400.0,6200.0,4900.0,70,67,72,71,73,72,70,62,74,65,73,66,65,62,73,68,67,74,73,73,78,63,62,49,72,66,70,37,59,8,16,12,6,10
Gaëtan Charbonnier,32,2000000.0,2300000.0,1800000.0,15000.0,17000.0,13500.0,79,73,27,13,46,44,78,79,28,78,78,57,74,59,28,57,80,51,32,51,51,77,76,76,71,60,59,72,71,8,11,13,11,16
Paul Lasne,32,1900000.0,2100000.0,1700000.0,14000.0,15500.0,12500.0,74,72,70,73,74,72,70,64,71,73,69,69,75,75,59,68,74,63,54,63,66,64,74,54,72,72,60,59,69,7,8,8,6,7
Stefan Johansen,30,2300000.0,2600000.0,2100000.0,60000.0,70000.0,55000.0,74,67,73,63,70,82,73,68,65,74,76,70,74,73,64,78,66,74,66,72,64,53,72,65,71,72,75,51,64,9,7,16,7,14
Hamdi Harbaoui,36,1000000.0,1100000.0,900000.0,7200.0,8200.0,6500.0,71,66,19,22,24,81,66,78,28,58,74,61,66,48,61,60,78,56,53,56,64,80,72,78,67,47,46,84,71,12,7,7,7,16
William Matheus,31,2000000.0,2300000.0,1800000.0,3700.0,4100.0,3300.0,72,66,66,69,70,73,70,66,70,60,60,79,72,63,72,73,75,58,73,59,53,50,69,57,59,48,46,58,56,15,16,16,16,10
Francesco Renzetti,33,1600000.0,1800000.0,1400000.0,11500.0,13000.0,10500.0,63,63,66,65,70,72,66,60,64,62,66,71,71,63,80,91,66,81,80,83,77,54,64,48,50,70,66,43,49,12,8,9,5,10
